arquivo;frase
./origem/partes/parte_0206.mp4;Just a few more steps.
./origem/partes/parte_0207.mp4;You want me to keep going?
./origem/partes/parte_0208.mp4;Yeah.
./origem/partes/parte_0209.mp4;Yep.
./origem/partes/parte_0210.mp4;Ow!
./origem/partes/parte_0211.mp4;Ow!
./origem/partes/parte_0212.mp4;Ow!
./origem/partes/parte_0213.mp4;Ow!
./origem/partes/parte_0214.mp4;Ow!
./origem/partes/parte_0215.mp4;There you go.
./origem/partes/parte_0216.mp4;Yeah.
./origem/partes/parte_0217.mp4;I got it!
./origem/partes/parte_0218.mp4;Man!
./origem/partes/parte_0219.mp4;Hi.
./origem/partes/parte_0220.mp4;Hi.
./origem/partes/parte_0221.mp4;For the love of God.
./origem/partes/parte_0222.mp4;Hey, Lolo.
./origem/partes/parte_0223.mp4;Hey, Lolo.
./origem/partes/parte_0224.mp4;Hey, Lolo.
./origem/partes/parte_0225.mp4;I'm back to you.
./origem/partes/parte_0226.mp4;Yeah, I did.
./origem/partes/parte_0227.mp4;Oh, for the love of God.
./origem/partes/parte_0228.mp4;Oh, for the love of Mike.
./origem/partes/parte_0229.mp4;Oh, for the love of Mike.
./origem/partes/parte_0230.mp4;Oh!
./origem/partes/parte_0231.mp4;Oh!
./origem/partes/parte_0232.mp4;Oh!
./origem/partes/parte_0233.mp4;Here we go. Here we go.
./origem/partes/parte_0234.mp4;You shouldn't be here.
./origem/partes/parte_0235.mp4;You shouldn't be here.
./origem/partes/parte_0236.mp4;You hear me? Huh?
./origem/partes/parte_0237.mp4;You shouldn't be here!
./origem/partes/parte_0238.mp4;What the fuck was that?
./origem/partes/parte_0239.mp4;That was October 21st, 1960.
./origem/partes/parte_0240.mp4;No, it wasn't.
./origem/partes/parte_0241.mp4;Now you understand why I needed you to go in there.
./origem/partes/parte_0242.mp4;What are you saying? What are you saying? This is a...
./origem/partes/parte_0243.mp4;Hard to find the right words, I know.
./origem/partes/parte_0244.mp4;But you go through there, and it's 1960.
./origem/partes/parte_0245.mp4;You're saying this is a time portal?
./origem/partes/parte_0246.mp4;I call it a rabbit hole.
./origem/partes/parte_0247.mp4;How long's it been there?
./origem/partes/parte_0248.mp4;Since I had the diner.
./origem/partes/parte_0249.mp4;Who else knows about it?
./origem/partes/parte_0250.mp4;Just you.
./origem/partes/parte_0251.mp4;If I told anyone else about it, they might try to stop me.
./origem/partes/parte_0252.mp4;They'd try and stop you? What are you talking about?
./origem/partes/parte_0253.mp4;Al, why did you show this to me?
./origem/partes/parte_0254.mp4;I need you to do what I couldn't.
./origem/partes/parte_0255.mp4;I need you to go back there.
./origem/partes/parte_0256.mp4;To prevent the assassination of John F. Kennedy.
./origem/partes/parte_0257.mp4;You heard about the butterfly effect?
./origem/partes/parte_0258.mp4;Yeah.
./origem/partes/parte_0259.mp4;All right.
./origem/partes/parte_0260.mp4;Do you think that if JFK lived, Robert Kennedy would have run for president? Seriously?
./origem/partes/parte_0261.mp4;It's doubtful.
./origem/partes/parte_0262.mp4;So?
./origem/partes/parte_0263.mp4;If Bobby doesn't run, that means no Sirhan Sirhan at the Ambassador Hotel in 1968.
./origem/partes/parte_0264.mp4;Save JFK, save his brother.
./origem/partes/parte_0265.mp4;And that's what I mean about the butterfly effect.
./origem/partes/parte_0266.mp4;The butterfly effect.
./origem/partes/parte_0267.mp4;Then there's Vietnam.
./origem/partes/parte_0268.mp4;Oh, okay.
./origem/partes/parte_0269.mp4;So if you save JFK, then there's no Vietnam?
./origem/partes/parte_0270.mp4;Johnson was the one who escalated everything in Nam.
./origem/partes/parte_0271.mp4;If Kennedy had survived, no way does that escalation continue.
./origem/partes/parte_0272.mp4;Those boys would have lived.
./origem/partes/parte_0273.mp4;Al, I get it.
./origem/partes/parte_0274.mp4;But changing the past to make it how you think it should be just seems...
./origem/partes/parte_0275.mp4;You think Vietnam unfolded exactly as it should have?
./origem/partes/parte_0276.mp4;That recent American history was just hunky dory.
./origem/partes/parte_0277.mp4;That saving JFK is just a theory.
./origem/partes/parte_0278.mp4;You don't know what it's going to change.
./origem/partes/parte_0279.mp4;You know what I know?
./origem/partes/parte_0280.mp4;You save Kennedy's life, you make the world a better place.
./origem/partes/parte_0281.mp4;God damn it.
./origem/partes/parte_0282.mp4;Al.
./origem/partes/parte_0283.mp4;Don't you want to do any fucking thing that matters?
./origem/partes/parte_0284.mp4;I'm just saying you don't have any proof.
./origem/partes/parte_0285.mp4;You don't know that what you do in the past is going to change anything here.
./origem/partes/parte_0286.mp4;Go see.
./origem/partes/parte_0287.mp4;What do you want me to go stab someone?
./origem/partes/parte_0288.mp4;No, Jake.
./origem/partes/parte_0289.mp4;There's a tree out there.
./origem/partes/parte_0290.mp4;Carve something in it.
./origem/partes/parte_0291.mp4;Jesus Christ.
./origem/partes/parte_0292.mp4;God damn it.
./origem/partes/parte_0293.mp4;Fucking god damn.
./origem/partes/parte_0294.mp4;I hate that fucking door.
./origem/partes/parte_0295.mp4;Hey, you come to me.
./origem/partes/parte_0296.mp4;Man, it doesn't matter.
./origem/partes/parte_0297.mp4;You come to me.
./origem/partes/parte_0298.mp4;I hate that fucking door.
./origem/partes/parte_0299.mp4;Shh.
./origem/partes/parte_0300.mp4;All right, I'm gonna show you.
./origem/partes/parte_0301.mp4;We're out of here.
./origem/partes/parte_0302.mp4;You're not getting back in here.
./origem/partes/parte_0303.mp4;Oh, for the love of my life.
./origem/partes/parte_0304.mp4;You shouldn't be here.
./origem/partes/parte_0305.mp4;Back off, okay?
./origem/partes/parte_0306.mp4;Next time you go through,
./origem/partes/parte_0307.mp4;that carving won't be there.
./origem/partes/parte_0309.mp4;Each time you go in,
./origem/partes/parte_0310.mp4;everything resets.
./origem/partes/parte_0311.mp4;It's always 1158 on October 21st, 1960.
./origem/partes/parte_0312.mp4;You saw how everything looked
./origem/partes/parte_0314.mp4;Yeah.
./origem/partes/parte_0315.mp4;No matter how long you stay,
./origem/partes/parte_0316.mp4;three weeks, three years,
./origem/partes/parte_0317.mp4;when you come back,
./origem/partes/parte_0318.mp4;only two minutes will have passed here.
./origem/partes/parte_0320.mp4;Who makes up these rules?
./origem/partes/parte_0321.mp4;I'm just explaining that
./origem/partes/parte_0322.mp4;if you want to change something forever,
./origem/partes/parte_0323.mp4;you can't ever go back.
./origem/partes/parte_0324.mp4;Going back erases what you did before.
./origem/partes/parte_0325.mp4;All right, who's the guy with the hat
./origem/partes/parte_0326.mp4;and the yellow card?
./origem/partes/parte_0328.mp4;Well, he got up in my face.
./origem/partes/parte_0329.mp4;I mean, he seemed to be
./origem/partes/parte_0331.mp4;the only one that noticed me come and go.
./origem/partes/parte_0332.mp4;Just forget the yellow card, man.
./origem/partes/parte_0333.mp4;He's not important.
./origem/partes/parte_0334.mp4;What's important
./origem/partes/parte_0335.mp4;is that we have a chance here.
./origem/partes/parte_0336.mp4;A chance to change people's lives.
./origem/partes/parte_0337.mp4;I saw you sitting there with Christie,
./origem/partes/parte_0338.mp4;and I knew you could do this.
./origem/partes/parte_0339.mp4;What are you talking about?
./origem/partes/parte_0340.mp4;That's the last time I went through.
./origem/partes/parte_0342.mp4;about two years.
./origem/partes/parte_0343.mp4;Two years?
./origem/partes/parte_0344.mp4;While I signed my divorce papers?
./origem/partes/parte_0345.mp4;That was...
./origem/partes/parte_0346.mp4;Two minutes.
./origem/partes/parte_0347.mp4;Yeah.
./origem/partes/parte_0348.mp4;It doesn't make any sense.
./origem/partes/parte_0349.mp4;It doesn't make any sense.
./origem/partes/parte_0350.mp4;Drake, the way the world is now doesn't make any sense.
./origem/partes/parte_0351.mp4;Just think about it.
./origem/partes/parte_0352.mp4;All right?
./origem/partes/parte_0353.mp4;You know how to think, don't you?
./origem/partes/parte_0354.mp4;Marisol Breslin.
./origem/partes/parte_0355.mp4;Congratulations, Marisol.
./origem/partes/parte_0356.mp4;Hector de la Fuente.
./origem/partes/parte_0357.mp4;That idiot always schedules
./origem/partes/parte_0358.mp4;these goddamn things on a Friday.
./origem/partes/parte_0359.mp4;Maureen Kelly.
./origem/partes/parte_0360.mp4;I can't send diplomas in the mail.
./origem/partes/parte_0361.mp4;How long have you worked here, Alice?
./origem/partes/parte_0362.mp4;I went here.
./origem/partes/parte_0363.mp4;Wow.
./origem/partes/parte_0364.mp4;Gary Dunning.
./origem/partes/parte_0365.mp4;Gary.
./origem/partes/parte_0366.mp4;All right.
./origem/partes/parte_0367.mp4;Harry!
./origem/partes/parte_0368.mp4;He's a great writer.
./origem/partes/parte_0369.mp4;I'll look for his work in the New Yorker.
./origem/partes/parte_0370.mp4;Did you get my recommendation?
./origem/partes/parte_0371.mp4;Listen, you love Harry.
./origem/partes/parte_0372.mp4;I love Harry.
./origem/partes/parte_0373.mp4;We all love Harry.
./origem/partes/parte_0374.mp4;He's great at pushing the group.
./origem/partes/parte_0375.mp4;But at management, making a schedule,
./origem/partes/parte_0376.mp4;signing timesheets?
./origem/partes/parte_0377.mp4;No way.
./origem/partes/parte_0378.mp4;All these graduates are starting new lives.
./origem/partes/parte_0379.mp4;That's it.
./origem/partes/parte_0380.mp4;I'm off the clock.
./origem/partes/parte_0381.mp4;Congratulations!
./origem/partes/parte_0382.mp4;All right!
./origem/partes/parte_0383.mp4;All the best!
./origem/partes/parte_0384.mp4;All right!
./origem/partes/parte_0385.mp4;Congratulations!
./origem/partes/parte_0386.mp4;All the best, George!
./origem/partes/parte_0387.mp4;All right.
./origem/partes/parte_0388.mp4;Tell me more.
./origem/partes/parte_0389.mp4;Come here.
./origem/partes/parte_0390.mp4;Holy shit.
./origem/partes/parte_0391.mp4;I thought you didn't have any hobbies.
./origem/partes/parte_0392.mp4;Who do you think killed Kennedy?
./origem/partes/parte_0393.mp4;People seem to think it was Lee Harvey Oswald.
./origem/partes/parte_0395.mp4;You know, in a conspiracy with the mafia,
./origem/partes/parte_0396.mp4;CIA, FBI, Russians,
./origem/partes/parte_0397.mp4;babushka lady on the grassy knoll.
./origem/partes/parte_0398.mp4;A lot of books written about it.
./origem/partes/parte_0399.mp4;Most of them written about Lee Harvey Oswald.
./origem/partes/parte_0400.mp4;Guy didn't make sense.
./origem/partes/parte_0401.mp4;U.S. Marine,
./origem/partes/parte_0402.mp4;defected to Russia, came back.
./origem/partes/parte_0403.mp4;But everyone who wrote about Oswald
./origem/partes/parte_0404.mp4;studied him after the assassination.
./origem/partes/parte_0405.mp4;I saw him before.
./origem/partes/parte_0406.mp4;I saw him when he came back from Russia.
./origem/partes/parte_0407.mp4;In 1962.
./origem/partes/parte_0408.mp4;What the hell are you staring at?
./origem/partes/parte_0409.mp4;Nothing.
./origem/partes/parte_0410.mp4;Yeah, well, mind your own.
./origem/partes/parte_0411.mp4;Why didn't you shoot him right there?
./origem/partes/parte_0412.mp4;I don't know whether Oswald was the man who did it.
./origem/partes/parte_0413.mp4;I still don't know.
./origem/partes/parte_0414.mp4;I'm not gonna shoot someone because of maybe.
./origem/partes/parte_0415.mp4;There are hundreds of questions that haven't been answered
./origem/partes/parte_0416.mp4;concerning Oswald in that day.
./origem/partes/parte_0417.mp4;This is a big one.
./origem/partes/parte_0418.mp4;Who's this?
./origem/partes/parte_0419.mp4;Walker.
./origem/partes/parte_0420.mp4;Ran for Texas governor.
./origem/partes/parte_0421.mp4;You know that in 1963,
./origem/partes/parte_0422.mp4;six months before Kennedy was shot,
./origem/partes/parte_0423.mp4;there was an assassination attempt on him.
./origem/partes/parte_0424.mp4;There was an assassination attempt on this man.
./origem/partes/parte_0426.mp4;A bullet came from a 6.5 caliber Carcano rifle.
./origem/partes/parte_0427.mp4;Same exact make a gun that killed Kennedy.
./origem/partes/parte_0428.mp4;Well, did you go back and see Oswald shoot Walker?
./origem/partes/parte_0429.mp4;That's what I want you to do.
./origem/partes/parte_0431.mp4;I want you to make it to April 10th, 1963.
./origem/partes/parte_0432.mp4;And if Oswald fires that gun alone,
./origem/partes/parte_0434.mp4;Hold on.
./origem/partes/parte_0435.mp4;What are we even talking about here?
./origem/partes/parte_0436.mp4;We're talking about seeing
./origem/partes/parte_0437.mp4;if Oswald took the gun.
./origem/partes/parte_0438.mp4;Or if he took a shot at Walker.
./origem/partes/parte_0439.mp4;I go back through the rabbit hole.
./origem/partes/parte_0440.mp4;I come out in 1960.
./origem/partes/parte_0441.mp4;You want me to hang out for three years?
./origem/partes/parte_0442.mp4;Two minutes here.
./origem/partes/parte_0443.mp4;What am I gonna do in 1960?
./origem/partes/parte_0444.mp4;I'm nothing there.
./origem/partes/parte_0445.mp4;How am I gonna live?
./origem/partes/parte_0446.mp4;I'm glad you asked.
./origem/partes/parte_0447.mp4;Treasure chest.
./origem/partes/parte_0448.mp4;James Amberson.
./origem/partes/parte_0449.mp4;See, you can still answer to Jake if you want.
./origem/partes/parte_0450.mp4;This is for me.
./origem/partes/parte_0451.mp4;You're welcome.
./origem/partes/parte_0452.mp4;Social Security card, birth certificate,
./origem/partes/parte_0453.mp4;charge cards, everything you need to hold a job,
./origem/partes/parte_0454.mp4;blend in.
./origem/partes/parte_0456.mp4;When did you do this?
./origem/partes/parte_0457.mp4;When I got diagnosed in 1962.
./origem/partes/parte_0458.mp4;You made all this when you were back there?
./origem/partes/parte_0459.mp4;Here's the most important thing.
./origem/partes/parte_0460.mp4;Sports stats?
./origem/partes/parte_0461.mp4;Yeah, baseball and boxing mostly.
./origem/partes/parte_0462.mp4;This is how you survived?
./origem/partes/parte_0463.mp4;You spent all your time back there gambling?
./origem/partes/parte_0464.mp4;That and there was a butcher I liked on Main Street.
./origem/partes/parte_0465.mp4;How do you think I keep my prices here so low?
./origem/partes/parte_0466.mp4;That's what you've been feeding me?
./origem/partes/parte_0467.mp4;I've been eating hamburgers from 1960?
./origem/partes/parte_0468.mp4;Yeah.
./origem/partes/parte_0469.mp4;Yeah.
./origem/partes/parte_0470.mp4;Yeah.
./origem/partes/parte_0471.mp4;Yeah.
./origem/partes/parte_0472.mp4;Yeah.
./origem/partes/parte_0473.mp4;Yeah.
./origem/partes/parte_0474.mp4;Yeah.
./origem/partes/parte_0475.mp4;Yeah.
./origem/partes/parte_0476.mp4;Yeah.
./origem/partes/parte_0477.mp4;Yeah.
./origem/partes/parte_0478.mp4;Yeah.
./origem/partes/parte_0479.mp4;Yeah.
./origem/partes/parte_0480.mp4;I don't know who you think I am.
./origem/partes/parte_0481.mp4;I just don't think I'm the right guy for this.
./origem/partes/parte_0482.mp4;devociation
./origem/partes/parte_0483.mp4;Yeah, yeah.
./origem/partes/parte_0484.mp4;Yeah.
./origem/partes/parte_0485.mp4;Yeah.
./origem/partes/parte_0486.mp4;Yeah.
./origem/partes/parte_0487.mp4;Yeah.
./origem/partes/parte_0488.mp4;Yeah.
./origem/partes/parte_0489.mp4;Yeah.
./origem/partes/parte_0490.mp4;Yeah.
./origem/partes/parte_0491.mp4;Yeah.
./origem/partes/parte_0492.mp4;Yeah.
./origem/partes/parte_0493.mp4;Yeah.
./origem/partes/parte_0494.mp4;Yeah.
./origem/partes/parte_0495.mp4;Yeah.
./origem/partes/parte_0496.mp4;Yeah.
./origem/partes/parte_0497.mp4;Yeah.
./origem/partes/parte_0498.mp4;Let's go.
./origem/partes/parte_0499.mp4;Go where?
./origem/partes/parte_0500.mp4;To the diner.
./origem/partes/parte_0501.mp4;I'll watch you go through.
./origem/partes/parte_0502.mp4;I can wait two minutes.
./origem/partes/parte_0503.mp4;Two minutes to get a better world.
./origem/partes/parte_0504.mp4;I have to think about all this.
./origem/partes/parte_0505.mp4;What's there to think about?
./origem/partes/parte_0506.mp4;I don't know.
./origem/partes/parte_0507.mp4;Okay.
./origem/partes/parte_0508.mp4;Yeah.
./origem/partes/parte_0509.mp4;Oh, yeah.
./origem/partes/parte_0510.mp4;And what a waste of fucking time.
./origem/partes/parte_0511.mp4;What?
./origem/partes/parte_0512.mp4;Now I can see how this is gonna go.
./origem/partes/parte_0513.mp4;Oh, my car needs an oil change.
./origem/partes/parte_0514.mp4;Gotta give a big test.
./origem/partes/parte_0515.mp4;Gotta go take a nap.
./origem/partes/parte_0516.mp4;Anything to avoid doing something real in your life.
./origem/partes/parte_0517.mp4;I've been up all night listening to fucking crazy.
./origem/partes/parte_0518.mp4;I thought maybe for once.
./origem/partes/parte_0519.mp4;This is fucking crazy.
./origem/partes/parte_0520.mp4;You might do something, not just talk about it.
./origem/partes/parte_0521.mp4;Just because you wasted your life on this,
./origem/partes/parte_0522.mp4;it doesn't mean that I have to.
./origem/partes/parte_0523.mp4;You little shit.
./origem/partes/parte_0524.mp4;Get the fuck out of my house.
./origem/partes/parte_0525.mp4;Get out.
./origem/partes/parte_0526.mp4;Get the fuck out of my house.
./origem/partes/parte_0527.mp4;Get the fuck out of my house.
./origem/partes/parte_0528.mp4;I'm not an angel.
./origem/partes/parte_0529.mp4;I know that it's for the value of life,
./origem/partes/parte_0530.mp4;but if I just leave you,
./origem/partes/parte_0531.mp4;my life will continue to be the life I was meant to have been.
./origem/partes/parte_0532.mp4;What's your problem with knowing the truth about life?
./origem/partes/parte_0533.mp4;The only thing saya doesn't care about is if you'd have a favorite or upset life.
./origem/partes/parte_0534.mp4;How many girlfriends did you date?
./origem/partes/parte_0535.mp4;I hated krieps.
./origem/partes/parte_0536.mp4;I didn't wanna have guys.
./origem/partes/parte_0537.mp4;I couldn't have any.
./origem/partes/parte_0538.mp4;Couldn't sleep.
